LEVEL,DATE
28.24,24/06/2003
28.24,25/06/2003
28.25,26/06/2003
28.26,27/06/2003
28.26,28/06/2003
28.26,29/06/2003
28.26,30/06/2003
28.27,01/07/2003
28.27,02/07/2003
28.26,03/07/2003
28.25,04/07/2003
28.24,05/07/2003
28.22,06/07/2003
28.20,07/07/2003
28.17,08/07/2003
28.15,09/07/2003
28.13,10/07/2003
28.11,11/07/2003
28.09,12/07/2003
28.08,13/07/2003
28.07,14/07/2003
28.03,15/07/2003
28.01,16/07/2003
28.00,17/07/2003
28.00,18/07/2003
27.98,19/07/2003
27.96,20/07/2003
27.93,21/07/2003
27.90,22/07/2003
27.88,23/07/2003
27.85,24/07/2003
27.82,25/07/2003
27.79,26/07/2003
27.75,27/07/2003
27.71,28/07/2003
27.69,29/07/2003
27.67,30/07/2003
27.64,31/07/2003
27.61,01/08/2003
27.58,02/08/2003
27.55,03/08/2003
27.51,04/08/2003
27.47,05/08/2003
27.42,06/08/2003
27.39,07/08/2003
27.35,08/08/2003
27.31,09/08/2003
27.26,10/08/2003
27.21,11/08/2003
27.17,12/08/2003
27.12,13/08/2003
27.08,14/08/2003
27.03,15/08/2003
26.99,16/08/2003
26.95,17/08/2003
26.90,18/08/2003
26.85,19/08/2003
26.79,20/08/2003
26.73,21/08/2003
26.67,22/08/2003
26.60,23/08/2003
26.53,24/08/2003
26.45,25/08/2003
26.38,26/08/2003
26.30,27/08/2003
26.22,28/08/2003
26.14,29/08/2003
26.06,30/08/2003
25.98,31/08/2003
25.89,01/09/2003
25.80,02/09/2003
25.70,03/09/2003
25.61,04/09/2003
25.52,05/09/2003
25.42,06/09/2003
25.32,07/09/2003
25.22,08/09/2003
25.12,09/09/2003
25.01,10/09/2003
24.89,11/09/2003
24.78,12/09/2003
24.67,13/09/2003
24.56,14/09/2003
24.43,15/09/2003
24.29,16/09/2003
24.15,17/09/2003
24.02,18/09/2003
23.88,19/09/2003
23.74,20/09/2003
23.59,21/09/2003
23.43,22/09/2003
23.28,23/09/2003
23.10,24/09/2003
22.91,25/09/2003
22.77,26/09/2003
22.61,27/09/2003
22.45,28/09/2003
22.27,29/09/2003
22.10,30/09/2003
21.94,01/10/2003
21.77,02/10/2003
21.61,03/10/2003
21.45,04/10/2003
21.29,05/10/2003
21.12,06/10/2003
20.99,07/10/2003
20.84,08/10/2003
20.66,09/10/2003
20.55,10/10/2003
20.43,11/10/2003
20.31,12/10/2003
20.20,13/10/2003
20.08,14/10/2003
19.98,15/10/2003
19.89,16/10/2003
19.82,17/10/2003
19.75,18/10/2003
19.68,19/10/2003
19.62,20/10/2003
19.57,21/10/2003
19.51,22/10/2003
19.47,23/10/2003
19.43,24/10/2003
19.40,25/10/2003
19.38,26/10/2003
19.47,27/10/2003
19.35,28/10/2003
19.33,29/10/2003
19.33,30/10/2003
19.32,31/10/2003
19.30,01/11/2003
19.28,02/11/2003
19.25,03/11/2003
19.25,04/11/2003
19.23,05/11/2003
19.20,06/11/2003
19.17,07/11/2003
19.12,08/11/2003
19.07,09/11/2003
19.03,10/11/2003
19.01,11/11/2003
19.01,12/11/2003
19.02,13/11/2003
19.03,14/11/2003
19.06,15/11/2003
19.09,16/11/2003
19.13,17/11/2003
19.15,18/11/2003
19.18,19/11/2003
19.21,20/11/2003
19.23,21/11/2003
19.25,22/11/2003
19.27,23/11/2003
19.30,24/11/2003
19.31,25/11/2003
19.32,26/11/2003
19.32,27/11/2003
19.33,28/11/2003
19.32,29/11/2003
19.31,30/11/2003
19.29,01/12/2003
19.28,02/12/2003
19.28,03/12/2003
19.27,04/12/2003
19.27,05/12/2003
19.27,06/12/2003
19.26,07/12/2003
19.25,08/12/2003
19.24,09/12/2003
19.23,10/12/2003
19.21,11/12/2003
19.21,12/12/2003
19.20,13/12/2003
19.19,14/12/2003
19.17,15/12/2003
19.16,16/12/2003
19.14,17/12/2003
19.10,18/12/2003
19.09,19/12/2003
19.08,20/12/2003
19.07,21/12/2003
19.05,22/12/2003
19.04,23/12/2003
19.04,24/12/2003
19.05,25/12/2003
19.06,26/12/2003
19.07,27/12/2003
19.09,28/12/2003
19.12,29/12/2003
19.16,30/12/2003
19.21,31/12/2003
19.28,01/01/2004
19.36,02/01/2004
19.44,03/01/2004
19.53,04/01/2004
19.62,05/01/2004
19.73,06/01/2004
19.83,07/01/2004
19.95,08/01/2004
20.08,09/01/2004
20.20,10/01/2004
20.32,11/01/2004
20.45,12/01/2004
20.58,13/01/2004
20.70,14/01/2004
20.84,15/01/2004
20.96,16/01/2004
21.09,17/01/2004
21.23,18/01/2004
21.37,19/01/2004
21.49,20/01/2004
21.59,21/01/2004
21.70,22/01/2004
21.79,23/01/2004
21.88,24/01/2004
21.97,25/01/2004
22.05,26/01/2004
22.12,27/01/2004
22.20,28/01/2004
22.24,29/01/2004
22.30,30/01/2004
22.33,31/01/2004
22.37,01/02/2004
22.41,02/02/2004
22.43,03/02/2004
22.43,04/02/2004
22.41,05/02/2004
22.39,06/02/2004
22.37,07/02/2004
22.34,08/02/2004
22.31,09/02/2004
22.27,10/02/2004
22.23,11/02/2004
22.18,12/02/2004
22.15,13/02/2004
22.12,14/02/2004
22.09,15/02/2004
22.07,16/02/2004
22.04,17/02/2004
22.02,18/02/2004
21.99,19/02/2004
21.96,20/02/2004
21.94,21/02/2004
21.92,22/02/2004
21.89,23/02/2004
21.88,24/02/2004
21.87,25/02/2004
21.87,26/02/2004
21.88,27/02/2004
21.89,28/02/2004
21.90,29/02/2004
21.92,01/03/2004
21.93,02/03/2004
21.94,03/03/2004
21.97,04/03/2004
21.99,05/03/2004
22.05,06/03/2004
22.11,07/03/2004
22.18,08/03/2004
22.24,09/03/2004
22.30,10/03/2004
22.37,11/03/2004
22.44,12/03/2004
22.49,13/03/2004
22.55,14/03/2004
22.61,15/03/2004
22.68,16/03/2004
22.75,17/03/2004
22.83,18/03/2004
22.89,19/03/2004
22.96,20/03/2004
23.03,21/03/2004
23.11,22/03/2004
23.21,23/03/2004
23.31,24/03/2004
23.38,25/03/2004
23.45,26/03/2004
23.55,27/03/2004
23.65,28/03/2004
23.76,29/03/2004
23.84,30/03/2004
23.91,31/03/2004
23.98,01/04/2004
24.06,02/04/2004
24.13,03/04/2004
24.19,04/04/2004
24.25,05/04/2004
24.30,06/04/2004
24.38,07/04/2004
24.45,08/04/2004
24.51,09/04/2004
24.57,10/04/2004
24.64,11/04/2004
24.71,12/04/2004
24.76,13/04/2004
24.81,14/04/2004
24.90,15/04/2004
24.96,16/04/2004
25.02,17/04/2004
25.07,18/04/2004
25.12,19/04/2004
25.17,20/04/2004
25.20,21/04/2004
25.24,22/04/2004
25.30,23/04/2004
25.36,24/04/2004
25.42,25/04/2004
25.47,26/04/2004
25.51,27/04/2004
25.56,28/04/2004
25.60,29/04/2004
25.66,30/04/2004
25.72,01/05/2004
25.77,02/05/2004
25.82,03/05/2004
25.86,04/05/2004
25.92,05/05/2004
25.96,06/05/2004
26.03,07/05/2004
26.09,08/05/2004
26.15,09/05/2004
26.20,10/05/2004
26.24,11/05/2004
26.29,12/05/2004
26.33,13/05/2004
26.36,14/05/2004
26.39,15/05/2004
26.43,16/05/2004
26.47,17/05/2004
26.51,18/05/2004
26.54,19/05/2004
26.58,20/05/2004
26.62,21/05/2004
26.65,22/05/2004
26.68,23/05/2004
26.72,24/05/2004
26.76,25/05/2004
26.78,26/05/2004
26.80,27/05/2004
26.83,28/05/2004
26.86,29/05/2004
26.89,30/05/2004
26.91,31/05/2004
26.93,01/06/2004
26.95,02/06/2004
26.96,03/06/2004
26.98,04/06/2004
27.00,05/06/2004
27.02,06/06/2004
27.05,07/06/2004
27.07,08/06/2004
27.09,09/06/2004
27.11,10/06/2004
27.12,11/06/2004
27.13,12/06/2004
27.13,13/06/2004
27.13,14/06/2004
27.13,15/06/2004
27.11,16/06/2004
27.10,17/06/2004
27.10,18/06/2004
27.10,19/06/2004
27.09,20/06/2004
27.08,21/06/2004
27.06,22/06/2004
27.06,23/06/2004
27.05,24/06/2004
27.03,25/06/2004
27.02,26/06/2004
27.01,27/06/2004
26.99,28/06/2004
26.98,29/06/2004
26.97,30/06/2004
26.95,01/07/2004
26.92,02/07/2004
26.90,03/07/2004
26.88,04/07/2004
26.85,05/07/2004
26.83,06/07/2004
26.81,07/07/2004
26.79,08/07/2004
26.76,09/07/2004
26.73,10/07/2004
26.70,11/07/2004
26.66,12/07/2004
26.63,13/07/2004
26.60,14/07/2004
26.56,15/07/2004
26.52,16/07/2004
26.48,17/07/2004
26.44,18/07/2004
26.39,19/07/2004
26.37,20/07/2004
26.35,21/07/2004
26.33,22/07/2004
26.30,23/07/2004
26.27,24/07/2004
26.24,25/07/2004
26.20,26/07/2004
26.17,27/07/2004
26.13,28/07/2004
26.08,29/07/2004
26.03,30/07/2004
25.99,31/07/2004
25.95,01/08/2004
25.90,02/08/2004
25.86,03/08/2004
25.78,04/08/2004
25.73,05/08/2004
25.70,06/08/2004
25.67,07/08/2004
25.64,08/08/2004
25.62,09/08/2004
25.60,10/08/2004
25.56,11/08/2004
25.51,12/08/2004
25.46,13/08/2004
25.43,14/08/2004
25.40,15/08/2004
25.38,16/08/2004
25.35,17/08/2004
25.33,18/08/2004
25.30,19/08/2004
25.23,20/08/2004
25.17,21/08/2004
25.11,22/08/2004
25.04,23/08/2004
24.98,24/08/2004
24.93,25/08/2004
24.85,26/08/2004
24.78,27/08/2004
24.72,28/08/2004
24.65,29/08/2004
24.58,30/08/2004
24.50,31/08/2004
24.40,01/09/2004
24.31,02/09/2004
24.21,03/09/2004
24.12,04/09/2004
24.03,05/09/2004
23.93,06/09/2004
23.82,07/09/2004
23.71,08/09/2004
23.62,09/09/2004
23.49,10/09/2004
23.39,11/09/2004
23.28,12/09/2004
23.17,13/09/2004
23.03,14/09/2004
22.92,15/09/2004
22.80,16/09/2004
22.70,17/09/2004
22.60,18/09/2004
22.50,19/09/2004
22.39,20/09/2004
22.27,21/09/2004
22.19,22/09/2004
22.09,23/09/2004
21.99,24/09/2004
21.90,25/09/2004
21.82,26/09/2004
21.74,27/09/2004
21.67,28/09/2004
21.59,29/09/2004
21.50,30/09/2004
21.43,01/10/2004
21.35,02/10/2004
21.28,03/10/2004
21.21,04/10/2004
21.12,05/10/2004
21.04,06/10/2004
20.96,07/10/2004
20.87,08/10/2004
20.78,09/10/2004
20.69,10/10/2004
20.61,11/10/2004
20.53,12/10/2004
20.45,13/10/2004
20.34,14/10/2004
20.27,15/10/2004
20.20,16/10/2004
20.14,17/10/2004
20.08,18/10/2004
20.04,19/10/2004
19.99,20/10/2004
19.94,21/10/2004
19.88,22/10/2004
19.85,23/10/2004
19.82,24/10/2004
19.80,25/10/2004
19.77,26/10/2004
19.75,27/10/2004
19.74,28/10/2004
19.73,29/10/2004
19.72,30/10/2004
19.70,31/10/2004
19.70,01/11/2004
19.70,02/11/2004
19.70,03/11/2004
19.68,04/11/2004
19.65,05/11/2004
19.59,06/11/2004
19.54,07/11/2004
19.49,08/11/2004
19.46,09/11/2004
19.41,10/11/2004
19.37,11/11/2004
19.35,12/11/2004
19.32,13/11/2004
19.29,14/11/2004
19.27,15/11/2004
19.24,16/11/2004
19.23,17/11/2004
19.23,18/11/2004
19.23,19/11/2004
19.23,20/11/2004
19.23,21/11/2004
19.24,22/11/2004
19.25,23/11/2004
19.27,24/11/2004
19.28,25/11/2004
19.29,26/11/2004
19.32,27/11/2004
19.35,28/11/2004
19.39,29/11/2004
19.41,30/11/2004
19.48,01/12/2004
19.56,02/12/2004
19.65,03/12/2004
19.71,04/12/2004
19.77,05/12/2004
19.82,06/12/2004
19.88,07/12/2004
19.93,08/12/2004
19.97,09/12/2004
20.02,10/12/2004
20.06,11/12/2004
20.10,12/12/2004
20.13,13/12/2004
20.18,14/12/2004
20.24,15/12/2004
20.28,16/12/2004
20.33,17/12/2004
20.37,18/12/2004
20.40,19/12/2004
20.43,20/12/2004
20.49,21/12/2004
20.53,22/12/2004
20.57,23/12/2004
20.66,24/12/2004
20.73,25/12/2004
20.80,26/12/2004
20.88,27/12/2004
20.92,28/12/2004
20.95,29/12/2004
20.99,30/12/2004
21.04,31/12/2004
21.08,01/01/2005
21.13,02/01/2005
21.18,03/01/2005
21.23,04/01/2005
21.26,05/01/2005
21.28,06/01/2005
21.30,07/01/2005
21.32,08/01/2005
21.34,09/01/2005
21.37,10/01/2005
21.41,11/01/2005
21.43,12/01/2005
21.44,13/01/2005
21.45,14/01/2005
21.46,15/01/2005
21.48,16/01/2005
21.50,17/01/2005
21.54,18/01/2005
21.57,19/01/2005
21.61,20/01/2005
21.64,21/01/2005
21.66,22/01/2005
21.69,23/01/2005
21.72,24/01/2005
21.75,25/01/2005
21.77,26/01/2005
21.79,27/01/2005
21.80,28/01/2005
21.82,29/01/2005
21.84,30/01/2005
21.87,31/01/2005
21.89,01/02/2005
21.92,02/02/2005
21.97,03/02/2005
21.99,04/02/2005
22.00,05/02/2005
22.01,06/02/2005
22.03,07/02/2005
22.06,08/02/2005
22.09,09/02/2005
22.11,10/02/2005
22.12,11/02/2005
22.17,12/02/2005
22.22,13/02/2005
22.28,14/02/2005
22.33,15/02/2005
22.39,16/02/2005
22.47,17/02/2005
22.55,18/02/2005
22.64,19/02/2005
22.73,20/02/2005
22.83,21/02/2005
22.91,22/02/2005
22.97,23/02/2005
23.05,24/02/2005
23.17,25/02/2005
23.27,26/02/2005
23.36,27/02/2005
23.47,28/02/2005
23.56,01/03/2005
23.66,02/03/2005
23.79,03/03/2005
23.90,04/03/2005
23.99,05/03/2005
24.09,06/03/2005
24.19,07/03/2005
24.28,08/03/2005
24.36,09/03/2005
24.44,10/03/2005
24.51,11/03/2005
24.60,12/03/2005
24.70,13/03/2005
24.81,14/03/2005
24.91,15/03/2005
24.99,16/03/2005
25.07,17/03/2005
25.17,18/03/2005
25.24,19/03/2005
25.31,20/03/2005
25.39,21/03/2005
25.50,22/03/2005
25.59,23/03/2005
25.64,24/03/2005
25.70,25/03/2005
25.76,26/03/2005
25.81,27/03/2005
25.86,28/03/2005
25.91,29/03/2005
25.97,30/03/2005
26.01,31/03/2005
26.04,01/04/2005
26.08,02/04/2005
26.11,03/04/2005
26.14,04/04/2005
26.17,05/04/2005
26.20,06/04/2005
26.24,07/04/2005
26.26,08/04/2005
26.28,09/04/2005
26.31,10/04/2005
26.34,11/04/2005
26.37,12/04/2005
26.39,13/04/2005
26.41,14/04/2005
26.45,15/04/2005
26.49,16/04/2005
26.52,17/04/2005
26.55,18/04/2005
26.60,19/04/2005
26.67,20/04/2005
26.72,21/04/2005
26.76,22/04/2005
26.82,23/04/2005
26.87,24/04/2005
26.92,25/04/2005
26.96,26/04/2005
26.99,27/04/2005
27.05,28/04/2005
27.11,29/04/2005
27.17,30/04/2005
27.22,01/05/2005
27.27,02/05/2005
27.32,03/05/2005
27.36,04/05/2005
27.41,05/05/2005
27.47,06/05/2005
27.53,07/05/2005
27.59,08/05/2005
27.64,09/05/2005
27.70,10/05/2005
27.73,11/05/2005
27.76,12/05/2005
27.79,13/05/2005
27.82,14/05/2005
27.85,15/05/2005
27.87,16/05/2005
27.91,17/05/2005
27.93,18/05/2005
27.96,19/05/2005
27.98,20/05/2005
28.00,21/05/2005
28.02,22/05/2005
28.03,23/05/2005
28.04,24/05/2005
28.04,25/05/2005
28.04,26/05/2005
28.03,27/05/2005
28.04,28/05/2005
28.05,29/05/2005
28.06,30/05/2005
28.08,31/05/2005
28.10,01/06/2005
28.10,02/06/2005
28.10,03/06/2005
28.10,04/06/2005
28.09,05/06/2005
28.08,06/06/2005
28.07,07/06/2005
28.06,08/06/2005
28.05,09/06/2005
28.03,10/06/2005
28.02,11/06/2005
28.01,12/06/2005
27.99,13/06/2005
27.97,14/06/2005
27.95,15/06/2005
27.93,16/06/2005
27.91,17/06/2005
27.88,18/06/2005
27.85,19/06/2005
27.81,20/06/2005
27.78,21/06/2005
27.76,22/06/2005
27.73,23/06/2005
27.71,24/06/2005
27.68,25/06/2005
27.65,26/06/2005
27.61,27/06/2005
27.59,28/06/2005
27.55,29/06/2005
27.52,30/06/2005
27.48,01/07/2005
27.44,02/07/2005
27.40,03/07/2005
27.35,04/07/2005
27.30,05/07/2005
27.24,06/07/2005
27.16,07/07/2005
27.07,08/07/2005
27.03,09/07/2005
26.98,10/07/2005
26.93,11/07/2005
26.90,12/07/2005
26.85,13/07/2005
26.79,14/07/2005
26.72,15/07/2005
26.67,16/07/2005
26.61,17/07/2005
26.55,18/07/2005
26.47,19/07/2005
26.40,20/07/2005
26.35,21/07/2005
26.27,22/07/2005
26.21,23/07/2005
26.14,24/07/2005
26.07,25/07/2005
26.00,26/07/2005
25.92,27/07/2005
25.86,28/07/2005
25.78,29/07/2005
25.70,30/07/2005
25.61,31/07/2005
25.52,01/08/2005
25.42,02/08/2005
25.34,03/08/2005
25.24,04/08/2005
25.14,05/08/2005
25.02,06/08/2005
24.90,07/08/2005
24.77,08/08/2005
24.63,09/08/2005
24.48,10/08/2005
24.34,11/08/2005
24.19,12/08/2005
24.04,13/08/2005
23.88,14/08/2005
23.72,15/08/2005
23.56,16/08/2005
23.39,17/08/2005
23.22,18/08/2005
23.04,19/08/2005
22.86,20/08/2005
22.68,21/08/2005
22.49,22/08/2005
22.32,23/08/2005
22.14,24/08/2005
21.96,25/08/2005
21.79,26/08/2005
21.62,27/08/2005
21.45,28/08/2005
21.29,29/08/2005
21.11,30/08/2005
20.94,31/08/2005
20.77,01/09/2005
20.62,02/09/2005
20.45,03/09/2005
20.29,04/09/2005
20.14,05/09/2005
19.99,06/09/2005
19.85,07/09/2005
19.72,08/09/2005
19.59,09/09/2005
19.44,10/09/2005
19.28,11/09/2005
19.12,12/09/2005
18.97,13/09/2005
18.81,14/09/2005
18.64,15/09/2005
18.49,16/09/2005
18.36,17/09/2005
18.23,18/09/2005
18.11,19/09/2005
17.97,20/09/2005
17.77,21/09/2005
17.59,22/09/2005
17.44,23/09/2005
17.31,24/09/2005
17.19,25/09/2005
17.07,26/09/2005
16.97,27/09/2005
16.85,28/09/2005
16.72,29/09/2005
16.63,30/09/2005
16.53,01/10/2005
16.43,02/10/2005
16.34,03/10/2005
16.25,04/10/2005
16.19,05/10/2005
16.11,06/10/2005
16.04,07/10/2005
15.95,08/10/2005
15.86,09/10/2005
15.78,10/10/2005
15.72,11/10/2005
15.64,12/10/2005
15.57,13/10/2005
15.47,14/10/2005
15.39,15/10/2005
15.31,16/10/2005
15.21,17/10/2005
15.13,18/10/2005
15.06,19/10/2005
14.98,20/10/2005
14.91,21/10/2005
14.85,22/10/2005
14.80,23/10/2005
14.76,24/10/2005
14.75,25/10/2005
14.75,26/10/2005
14.77,27/10/2005
14.80,28/10/2005
14.87,29/10/2005
14.95,30/10/2005
15.03,31/10/2005
15.13,01/11/2005
15.26,02/11/2005
15.40,03/11/2005
15.57,04/11/2005
15.72,05/11/2005
15.86,06/11/2005
16.03,07/11/2005
16.17,08/11/2005
16.35,09/11/2005
16.49,10/11/2005
16.61,11/11/2005
16.71,12/11/2005
16.84,13/11/2005
16.98,14/11/2005
17.12,15/11/2005
17.27,16/11/2005
17.37,17/11/2005
17.50,18/11/2005
17.64,19/11/2005
17.77,20/11/2005
17.89,21/11/2005
17.97,22/11/2005
18.07,23/11/2005
18.17,24/11/2005
18.29,25/11/2005
18.40,26/11/2005
18.50,27/11/2005
18.60,28/11/2005
18.69,29/11/2005
18.74,30/11/2005
18.81,01/12/2005
18.89,02/12/2005
18.97,03/12/2005
19.06,04/12/2005
19.15,05/12/2005
19.22,06/12/2005
19.31,07/12/2005
19.38,08/12/2005
19.44,09/12/2005
19.53,10/12/2005
19.62,11/12/2005
19.70,12/12/2005
19.76,13/12/2005
19.84,14/12/2005
19.89,15/12/2005
19.92,16/12/2005
19.95,17/12/2005
19.97,18/12/2005
19.99,19/12/2005
20.03,20/12/2005
20.09,21/12/2005
20.12,22/12/2005
20.15,23/12/2005
20.19,24/12/2005
20.23,25/12/2005
20.26,26/12/2005
20.30,27/12/2005
20.37,28/12/2005
20.44,29/12/2005
20.52,30/12/2005
20.61,31/12/2005
20.70,01/01/2006
20.80,02/01/2006
20.98,03/01/2006
21.09,04/01/2006
21.23,05/01/2006
21.37,06/01/2006
21.51,07/01/2006
21.64,08/01/2006
21.77,09/01/2006
21.90,10/01/2006
22.02,11/01/2006
22.14,12/01/2006
22.26,13/01/2006
22.37,14/01/2006
22.47,15/01/2006
22.57,16/01/2006
22.67,17/01/2006
22.78,18/01/2006
22.87,19/01/2006
22.94,20/01/2006
23.00,21/01/2006
23.05,22/01/2006
23.10,23/01/2006
23.15,24/01/2006
23.19,25/01/2006
23.24,26/01/2006
23.29,27/01/2006
23.34,28/01/2006
23.38,29/01/2006
23.42,30/01/2006
23.49,31/01/2006
23.55,01/02/2006
23.62,02/02/2006
23.70,03/02/2006
23.79,04/02/2006
23.88,05/02/2006
23.98,06/02/2006
24.08,07/02/2006
24.19,08/02/2006
24.29,09/02/2006
24.38,10/02/2006
24.47,11/02/2006
24.57,12/02/2006
24.67,13/02/2006
24.77,14/02/2006
24.86,15/02/2006
24.97,16/02/2006
25.07,17/02/2006
25.16,18/02/2006
25.24,19/02/2006
25.32,20/02/2006
25.38,21/02/2006
25.45,22/02/2006
25.51,23/02/2006
25.57,24/02/2006
25.64,25/02/2006
25.71,26/02/2006
25.77,27/02/2006
25.83,28/02/2006
25.88,01/03/2006
25.93,02/03/2006
25.97,03/03/2006
26.01,04/03/2006
26.04,05/03/2006
26.07,06/03/2006
26.10,07/03/2006
26.17,08/03/2006
26.19,09/03/2006
26.21,10/03/2006
26.22,11/03/2006
26.23,12/03/2006
26.23,13/03/2006
26.23,14/03/2006
26.22,15/03/2006
26.22,16/03/2006
26.21,17/03/2006
26.20,18/03/2006
26.20,19/03/2006
26.20,20/03/2006
26.22,21/03/2006
26.23,22/03/2006
26.24,23/03/2006
26.25,24/03/2006
26.26,25/03/2006
26.28,26/03/2006
26.31,27/03/2006
26.34,28/03/2006
26.35,29/03/2006
26.37,30/03/2006
26.38,31/03/2006
26.39,01/04/2006
26.41,02/04/2006
26.43,03/04/2006
26.45,04/04/2006
26.48,05/04/2006
26.51,06/04/2006
26.60,07/04/2006
26.62,08/04/2006
26.64,09/04/2006
26.65,10/04/2006
26.67,11/04/2006
26.69,12/04/2006
26.71,13/04/2006
26.73,14/04/2006
26.76,15/04/2006
26.79,16/04/2006
26.83,17/04/2006
26.86,18/04/2006
26.88,19/04/2006
26.91,20/04/2006
26.94,21/04/2006
26.97,22/04/2006
27.00,23/04/2006
27.04,24/04/2006
27.11,25/04/2006
27.14,26/04/2006
27.17,27/04/2006
27.19,28/04/2006
27.22,29/04/2006
27.25,30/04/2006
27.27,01/05/2006
27.29,02/05/2006
27.37,03/05/2006
27.43,04/05/2006
27.46,05/05/2006
27.50,06/05/2006
27.54,07/05/2006
27.59,08/05/2006
27.67,09/05/2006
27.74,10/05/2006
27.82,11/05/2006
27.86,12/05/2006
27.90,13/05/2006
27.95,14/05/2006
28.00,15/05/2006
28.04,16/05/2006
28.09,17/05/2006
28.17,18/05/2006
28.21,19/05/2006
28.25,20/05/2006
28.29,21/05/2006
28.34,22/05/2006
28.37,23/05/2006
28.43,24/05/2006
28.49,25/05/2006
28.55,26/05/2006
28.59,27/05/2006
28.62,28/05/2006
28.65,29/05/2006
28.68,30/05/2006
28.71,31/05/2006
28.73,01/06/2006
28.75,02/06/2006
28.77,03/06/2006
28.79,04/06/2006
28.80,05/06/2006
28.81,06/06/2006
28.82,07/06/2006
28.83,08/06/2006
28.84,09/06/2006
28.84,10/06/2006
28.84,11/06/2006
28.83,12/06/2006
28.83,13/06/2006
28.81,14/06/2006
28.80,15/06/2006
28.79,16/06/2006
28.78,17/06/2006
28.77,18/06/2006
28.76,19/06/2006
28.75,20/06/2006
28.73,21/06/2006
28.71,22/06/2006
28.69,23/06/2006
28.67,24/06/2006
28.65,25/06/2006
28.62,26/06/2006
28.60,27/06/2006
28.58,28/06/2006
28.56,29/06/2006
28.53,30/06/2006
28.50,01/07/2006
28.47,02/07/2006
28.43,03/07/2006
28.40,04/07/2006
28.38,05/07/2006
28.34,06/07/2006
28.31,07/07/2006
28.27,08/07/2006
28.22,09/07/2006
28.17,10/07/2006
28.13,11/07/2006
28.08,12/07/2006
28.03,13/07/2006
27.99,14/07/2006
27.94,15/07/2006
27.88,16/07/2006
27.82,17/07/2006
27.76,18/07/2006
27.70,19/07/2006
27.63,20/07/2006
27.57,21/07/2006
27.51,22/07/2006
27.45,23/07/2006
27.38,24/07/2006
27.32,25/07/2006
27.27,26/07/2006
27.19,27/07/2006
27.12,28/07/2006
27.07,29/07/2006
27.01,30/07/2006
26.95,31/07/2006
26.88,01/08/2006
26.81,02/08/2006
26.73,03/08/2006
26.65,04/08/2006
26.58,05/08/2006
26.51,06/08/2006
26.43,07/08/2006
26.34,08/08/2006
26.25,09/08/2006
26.15,10/08/2006
26.06,11/08/2006
25.97,12/08/2006
25.88,13/08/2006
25.78,14/08/2006
25.68,15/08/2006
25.57,16/08/2006
25.47,17/08/2006
25.35,18/08/2006
25.24,19/08/2006
25.12,20/08/2006
25.00,21/08/2006
24.87,22/08/2006
24.73,23/08/2006
24.60,24/08/2006
24.47,25/08/2006
24.34,26/08/2006
24.20,27/08/2006
24.05,28/08/2006
23.91,29/08/2006
23.75,30/08/2006
23.60,31/08/2006
23.45,01/09/2006
23.30,02/09/2006
23.14,03/09/2006
22.98,04/09/2006
22.83,05/09/2006
22.69,06/09/2006
22.55,07/09/2006
22.42,08/09/2006
22.28,09/09/2006
22.15,10/09/2006
22.02,11/09/2006
21.88,12/09/2006
21.73,13/09/2006
21.59,14/09/2006
21.44,15/09/2006
21.29,16/09/2006
21.15,17/09/2006
21.01,18/09/2006
20.85,19/09/2006
20.70,20/09/2006
20.53,21/09/2006
20.33,22/09/2006
20.16,23/09/2006
20.00,24/09/2006
19.85,25/09/2006
19.68,26/09/2006
19.51,27/09/2006
19.35,28/09/2006
19.21,29/09/2006
19.07,30/09/2006
18.94,01/10/2006
18.81,02/10/2006
18.67,03/10/2006
18.52,04/10/2006
18.41,05/10/2006
18.27,06/10/2006
18.14,07/10/2006
18.02,08/10/2006
17.90,09/10/2006
17.80,10/10/2006
17.70,11/10/2006
17.60,12/10/2006
17.51,13/10/2006
17.41,14/10/2006
17.32,15/10/2006
17.23,16/10/2006
17.17,17/10/2006
17.10,18/10/2006
17.04,19/10/2006
16.97,20/10/2006
16.94,21/10/2006
16.92,22/10/2006
16.90,23/10/2006
16.89,24/10/2006
16.89,25/10/2006
16.90,26/10/2006
16.92,27/10/2006
16.92,28/10/2006
16.94,29/10/2006
16.97,30/10/2006
16.98,31/10/2006
17.01,01/11/2006
17.05,02/11/2006
17.10,03/11/2006
17.11,04/11/2006
17.13,05/11/2006
17.15,06/11/2006
17.16,07/11/2006
17.16,08/11/2006
17.16,09/11/2006
17.17,10/11/2006
17.18,11/11/2006
17.19,12/11/2006
17.21,13/11/2006
17.25,14/11/2006
17.28,15/11/2006
17.32,16/11/2006
17.41,17/11/2006
17.52,18/11/2006
17.63,19/11/2006
17.75,20/11/2006
17.87,21/11/2006
18.01,22/11/2006
18.15,23/11/2006
18.28,24/11/2006
18.42,25/11/2006
18.56,26/11/2006
18.71,27/11/2006
18.87,28/11/2006
18.99,29/11/2006
19.12,30/11/2006
19.24,01/12/2006
19.35,02/12/2006
19.47,03/12/2006
19.59,04/12/2006
19.69,05/12/2006
19.77,06/12/2006
19.86,07/12/2006
19.94,08/12/2006
20.02,09/12/2006
20.09,10/12/2006
20.15,11/12/2006
20.21,12/12/2006
20.30,13/12/2006
20.37,14/12/2006
20.48,15/12/2006
